"Week
number","Week
ending","Deaths involving COVID-19,
Wales","All deaths,
Wales","5 year average comparison,
Wales"
12,3/20/2020,0,133,145
13,3/27/2020,1,163,141
14,4/3/2020,20,213,139
15,4/10/2020,76,253,140
16,4/17/2020,136,336,135
17,4/24/2020,153,359,132
18,5/1/2020,112,297,129
19,5/8/2020,95,228,126
20,5/15/2020,81,216,127
21,5/22/2020,53,184,127
22,5/29/2020,44,140,107
23,6/5/2020,33,140,129
24,6/12/2020,15,133,120
25,6/19/2020,9,117,114
26,6/26/2020,12,103,107
27,7/3/2020,9,120,111
28,7/10/2020,6,110,116
29,7/17/2020,1,106,105
30,7/24/2020,3,107,108
31,7/31/2020,1,100,105
32,8/7/2020,9,109,112
33,8/14/2020,3,128,116
34,8/21/2020,4,105,120
35,8/28/2020,0,106,105
36,9/4/2020,0,95,119
37,9/11/2020,0,95,115
38,9/18/2020,1,107,118
39,9/25/2020,1,118,123
40,10/2/2020,3,114,124
41,10/9/2020,2,113,138
42,10/16/2020,4,129,131
43,10/23/2020,13,114,137
44,10/30/2020,14,122,128
45,11/6/2020,35,169,137
46,11/13/2020,45,143,142
47,11/20/2020,67,181,138
48,11/27/2020,81,194,140
49,12/4/2020,64,192,144
50,12/11/2020,56,165,149
51,12/18/2020,56,189,154
52,12/25/2020,56,178,115
53,12/31/2020,63,148,115
